"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190425006459I","25-APR-19","MOUNT STERLING","KY","MOUNT STERLING-MONTGOMERY COUNTY","INCIDENT","MINOR","TAXI","CESSNA","650","NO SERIES EXISTS","AIR TREK INC","","AIR TAXI/COMMUTER","","650AT","0","1","AIRESE","TFE731 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","21000","500","115",""
"20190426003449I","26-APR-19","PALM BEACH","FL","PALM BEACH INTL","INCIDENT","MINOR","TAXI","CESSNA","210","L","","","GENERAL OPERATING RULES","","2160S","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6700","6000","25",""
"20190426003469I","26-APR-19","MOSELLE","MS","HATTIESBURG-LAUREL RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","928EV","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT","1867","","",""
"20190426003479I","26-APR-19","COLUMBIA","CA","COLUMBIA","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","903KR","0","0","LYCOMI","O-320-H2AD","","","PRIVATE PILOT","148","65","35",""
"20190426010929I","26-APR-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","NONE","TAKEOFF: DEPARTURE","BOMBARDIER","BD700 1A10","NO SERIES EXISTS","SUNSET AVIATION LLC","","AIR TAXI/COMMUTER","","283DM","0","0","ROLLS","BR700-710A220","","","AIRLINE TRANSPORT","9867","","",""
"20190427003519I","27-APR-19","NEWBERRY","SC","NEWBERRY COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","BELLANCA","1419","2","","","GENERAL OPERATING RULES","","9815B","0","0","CONT M","O-470 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","15000","","",""
"20190427003539I","27-APR-19","PACOIMA","CA","WHITEMAN","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PITTS","S1","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","781","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1932","","",""
"20190427010949I","27-APR-19","MESA","AZ","FALCON FLD","INCIDENT","MINOR","GROUND-RAMP","PIPER","PA28","181","","","GENERAL OPERATING RULES","","4400D","0","0","LYCOMI","O-360-A4M","","","COMMERCIAL PILOT","320","","",""
"20190428003549I","28-APR-19","BRAINARD","MN","BRAINERD LAKES RGNL","INCIDENT","MINOR","LANDING: APPROACH","BEECH","55","95B55","","","GENERAL OPERATING RULES","","76CB","0","0","CONT M","I0-470 SERIES","","","","","","",""
"20190428003569I","28-APR-19","ARLINGTON","WA","ARLINGTON MUNI","INCIDENT","MINOR","TAXI","CHAMPION","8KCAB","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","93WE","0","0","LYCOMI","AEIO-360 SER","","1","","1219","23","16",""
"20190428004509I","28-APR-19","AMBOY","WA","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","150","L","","","GENERAL OPERATING RULES","","18586","0","1","CONT M","0-200 SERIES","","1","COMMERCIAL PILOT","970","750","4",""
"20190428010959I","28-APR-19","CORALVILLE","IA","","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","J3C","65","","","GENERAL OPERATING RULES","","3609K","0","0","CONTEN","O-200A","67075","","","","","",""
"20190429003589I","29-APR-19","WORTHINGTON","PA","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BELL","407","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","875ST","0","0","ROLLS-","250-C47B","","1","","","","",""
"20190429003599I","29-APR-19","SUMTER","SC","SUMTER","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","560","XL","","","GENERAL OPERATING RULES","","560DA","0","0","P&W CA","PW545C","","2","COMMERCIAL PILOT","6815","","",""
"20190430003649I","30-APR-19","SAINT GEORGE","UT","ST GEORGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","AERO VODOCHODY","L39","C","","","GENERAL OPERATING RULES","","136EM","0","0","IVCHEN","AI-25TL","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","775","41","60",""
"20190430003659I","30-APR-19","HOUSTON","TX","","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CANADAIR","CL600 2B16","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","263JM","0","0","GE","CF34-3B","","","","","","",""
"20190501003719I","01-MAY-19","","","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA18","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","9145D","0","0","","","","","PRIVATE PILOT","3550","950","35",""
"20190501003739I","01-MAY-19","MCCONNELLSVILLE","OH","","INCIDENT","MINOR","OTHER-SPECIFY","EUROCOPTER","EC130","B4","METRO AVIATION INC","","AIR TAXI/COMMUTER","","130MU","0","0","TURBOM","ARRIEL 2B1","","","COMMERCIAL PILOT","17107","386","63",""
"20190502003809I","02-MAY-19","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","NONE","LANDING: APPROACH","CESSNA","150","L","","","GENERAL OPERATING RULES","","21923","0","0","CONT M","0-200 SERIES","","1","PRIVATE PILOT","","","",""
"20190503003829I","03-MAY-19","COVINGTON","KY","CINCINNATI/NORTHERN KENTUCKY INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","525","B","CORPORATE FLIGHT INTERNATIONAL INC","","AIR TAXI/COMMUTER","","80VM","0","0","WILLIA","FJ44-3A","","2","","","","",""
"20190504003909I","04-MAY-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5811C","0","0","","","","1","PRIVATE PILOT","6045","4668","31",""
"20190504003929I","04-MAY-19","GALLUP","NM","GALLUP MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","TR182","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","222KP","0","0","LYCOMI","0-540 SERIES","","1","PRIVATE PILOT","808","72","7",""
"20190505003949I","05-MAY-19","ZEELAND","MI","OTTAWA EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","838MB","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","","","",""
"20190505003959I","05-MAY-19","NEW CASTLE","IN","NEW CASTLE-HENRY CO MUNI","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","105X","0","0","","","","1","","","","",""
"20190505003989I","05-MAY-19","MOBILE","AL","MOBILE DOWNTOWN","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32R","301","","","GENERAL OPERATING RULES","","9229B","0","1","LYCOMI","IO-540 SER","","","PRIVATE PILOT","","","",""
"20190505004009I","05-MAY-19","ROVER","AR","DANVILLE MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","36","A36","","","GENERAL OPERATING RULES","","871CS","0","0","CONT M","IO-550-B","N/A","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","521","62","108",""
"20190505004019I","05-MAY-19","ABILENE","TX","ABILENE RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","B36TC","","","GENERAL OPERATING RULES","","136BF","0","0","CONT M","TSIO-520-UB","","1","PRIVATE PILOT","129","70","10",""
"20190505004021I","05-MAY-19","CLAREMORE","OK","CLAREMORE RGNL","INCIDENT","MINOR","TAXI","CESSNA","A150","K","","","GENERAL OPERATING RULES","","8458M","0","0","CONT M","0-200 SERIES","","1","PRIVATE PILOT","330","250","10",""
"20190506004059I","06-MAY-19","ANCHORAGE","AK","LAKE HOOD","INCIDENT","MINOR","GROUND-RAMP","PIPER","PA18","A150","","","GENERAL OPERATING RULES","","9368D","0","0","","","","","COMMERCIAL PILOT","12200","3500","30",""
"20190506004099I","06-MAY-19","WOOSTER","OH","WAYNE COUNTY","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","T310","Q","","","GENERAL OPERATING RULES","","183HC","0","0","CONT M","TSIO-520 SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20190506004119I","06-MAY-19","MERRITT ISLAND","FL","MERRITT ISLAND","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA28","161","","","GENERAL OPERATING RULES","","532DM","0","0","LYCOMM","L-8867","39A","","STUDENT","55","55","55",""
"20190506004129I","06-MAY-19","GRANTS","NM","GRANTS-MILAN MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","D","","","GENERAL OPERATING RULES","","2568U","0","0","CONT M","0-300 SER","","1","PRIVATE PILOT","4000","2500","65",""
"20190506006469I","06-MAY-19","OKLAHOMA CITY","OK","WILEY POST","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","679PB","0","0","AMA/EX","IRAN","M601D","","UNKNOWN/FOREIGN","","","",""
"20190506008329I","06-MAY-19","ASHEVILLE","NC","ASHEVILLE RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","1974D","0","0","CONT M","IO 520 SERIES","BA","1","PRIVATE PILOT","1556","345","48",""
"20190507004149I","07-MAY-19","PIKESVILLE","NC","WAYNE EXECUTIVE JETPORT","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","810JP","0","0","CONT M","TSIO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2852","110","58",""
"20190507004159I","07-MAY-19","CALERA","AL","SHELBY COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","55","95B55","","","GENERAL OPERATING RULES","","1767W","0","0","CONT M","I0-470 SERIES","N/A","","PRIVATE PILOT","525","80","16",""
"20190507016329I","07-MAY-19","MOUNTAIN HOME","AR","BAXTER COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","109BW","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","7000","10","45",""
"20190508004179I","08-MAY-19","HARTVILLE","MO","","INCIDENT","MINOR","MANEUVER","CESSNA","188","B","DARTER, LLOYD R","","AGRICULTURAL","","9292G","0","0","CONT M","O-470 SERIES","","1","COMMERCIAL PILOT","5960","2000","25",""
"20190508004219I","08-MAY-19","PEMBROKE PINES","FL","NORTH PERRY","INCIDENT","NONE","TAXI","CESSNA","172","M","","","GENERAL OPERATING RULES","","20521","0","0","LYCOMI","0-320 SERIES","172-61","1","STUDENT","25","25","25",""
"20190508004229I","08-MAY-19","","FL","ALBERT WHITTED","INCIDENT","MINOR","TAXI","PIPER","J3C","65","","","GENERAL OPERATING RULES","","70539","0","0","CONT M","C85 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4270","1000","27",""
"20190508004239I","08-MAY-19","CHICKASHA","OK","CHICKASHA MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA24","260","","","GENERAL OPERATING RULES","","8565P","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","480","240","149",""
"20190508004249I","08-MAY-19","HILO","HI","HILO INTL","INCIDENT","MINOR","LANDING: APPROACH","AEROSPATIALE","AS350","B2","SAFARI AVIATION INC","","AIR TAXI/COMMUTER","","964SA","0","0","TURBOM","ASTAZOU SER","","","COMMERCIAL PILOT","16250","13400","26",""
"20190508008339I","08-MAY-19","REDMOND","OR","ROBERTS FIELD","INCIDENT","MINOR","OTHER-SPECIFY","","","","","","GENERAL OPERATING RULES","","77VY","0","0","","","","","","","","",""
"20190508010989I","08-MAY-19","AMARILLO","TX","RICK HUSBAND AMARILLO INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","GENERAL OPERATING RULES","","828MC","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","57","26","50",""
"20190509004279I","09-MAY-19","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","LANDING: APPROACH","BOMBARDIER","BD100 1A10","NO SERIES EXISTS","EXECUTIVE JET MANAGEMENT INC","","AIR TAXI/COMMUTER","","86DQ","0","0","HONEYW","AS907-1-1A","","","","","","",""
"20190509004289I","09-MAY-19","CLEVELAND","OH","BURKE LAKEFRONT","INCIDENT","MINOR","TAXI","PIPER","PA18","150","","","GENERAL OPERATING RULES","","9627P","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","1350","900","150",""
"20190509004299I","09-MAY-19","WALLA WALLA","WA","WALLA WALLA RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","TR182","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","4829R","0","0","LYCOMI","0-540 SERIES","","1","PRIVATE PILOT","1114","","",""
"20190509004309I","09-MAY-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","S","","","GENERAL OPERATING RULES","","567DD","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT","132","","",""
"20190510004319I","10-MAY-19","NEW YORK CITY","NY","LA GUARDIA","INCIDENT","NONE","LANDING: APPROACH","EMBRAER","ERJ170","200","REPUBLIC AIRLINE INC","","AIR CARRIER/COMMERCIAL","","214JQ","0","0","GE","CF34-8E5","","","","","","",""
"20190510004339I","10-MAY-19","KENANSVILLE","FL","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","172","E","","","GENERAL OPERATING RULES","","3916S","0","0","CONT M","0-300 SER","N/A","1","PRIVATE PILOT","","","",""
"20190511000519I","11-MAY-19","LONGMONT","CO","VANCE BRAND","INCIDENT","NONE","DESCENT","","","","","","PARACHUTE JUMPING","","NONE","1","0","","","","","","","","",""
"20190511004359I","11-MAY-19","HARTFORD","CT","HARTFORD-BRAINARD","INCIDENT","MINOR","GROUND-RAMP","CESSNA","172","P","","","GENERAL OPERATING RULES","","9344L","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","422","188","8",""
"20190511004499I","11-MAY-19","PERRIS","CA","FRENCH VALLEY","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","252YB","0","0","CONT M","TSIO-360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4560","392","38",""
"20190511010999I","11-MAY-19","","GU","","INCIDENT","SUBSTANTIAL","TAKEOFF: ROTATION","BOEING","747","428","NATIONAL AIR CARGO GROUP INC","","AIR CARRIER/COMMERCIAL","","952CA","0","0","GE","CF6-80C2B1F","","","AIRLINE TRANSPORT","14000","3000","186",""
"20190512004539I","12-MAY-19","","WA","","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","539SW","0","0","ROTAX","912 IS","","1","PRIVATE PILOT","360","23","4",""
"20190512004559I","12-MAY-19","ATLANTA","LA","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MAULE","M4","220C","","","GENERAL OPERATING RULES","","2012U","0","0","FRANKL","6V 350 SERIES","","","AIRLINE TRANSPORT","8000","","",""
"20190513008349I","13-MAY-19","EL DORADO","AR","SOUTH ARKANSAS RGNL AT GOODWIN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","310","Q","","","GENERAL OPERATING RULES","","1549T","0","0","CONT M","I0-470 SERIES","","2","UNKNOWN/FOREIGN","","","",""
"20190513016669I","13-MAY-19","CLINTONVILLE","WI","CLINTONVILLE MUNI","INCIDENT","MINOR","TAKEOFF: ROTATION","NORTH AMERICAN","A36","A","","","GENERAL OPERATING RULES","","425P","0","0","CONT M","IO-550 SERIES","","1","COMMERCIAL PILOT","2785","915","24",""
"20190514004619I","14-MAY-19","MONROE","NC","CHARLOTTE-MONROE EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","AERONCA","7AC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1946E","0","0","CONT M","A&C65 SERIES","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","1135","120","135",""
"20190515004419I","15-MAY-19","SAN ANTONIO","TX","SAN ANTONIO INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA46","500TP","","","GENERAL OPERATING RULES","","776KC","0","0","P&W CA","PT6A-42A","","","PRIVATE PILOT","","","",""
"20190515004659I","15-MAY-19","GREENVILLE","SC","GREENVILLE DOWNTOWN","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","172","M","","","PILOT SCHOOLS","","50590","0","0","LYCOMI","0-320 SERIES","","1","COMMERCIAL PILOT","2100","","",""
"20190515004689I","15-MAY-19","GRANDFIELD","OK","GRANDFIELD MUNI","INCIDENT","MINOR","MANEUVER","AIR TRACTOR","AT502","B","TEXOMA SPRAYERS LLC","","AGRICULTURAL","","6039S","0","0","P&W","PT6A SERIES","TURBO","","COMMERCIAL PILOT","1939","90","90",""
"20190516004709I","16-MAY-19","MILBANK","SD","MILBANK MUNI","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","PIPER","PA31","300","MIDWEST FLYING SERVICE INC","","AIR TAXI/COMMUTER","","9007Y","0","0","LYCOMI","TI0-540 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","14450","1870","85",""
"20190516004719I","16-MAY-19","BOWLING GREEN","MO","BOWLING GREEN MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3555N","0","0","","","","1","","","","",""
"20190516004739I","16-MAY-19","OXFORD","CT","WATERBURY-OXFORD","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20R","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","557RM","0","0","CONT M","IO-550 SERIES","","1","PRIVATE PILOT","","","",""
"20190516004749I","16-MAY-19","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","TAXI","CESSNA","414","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","414TN","0","0","CONT M","TSIO-520-NB","NB","2","AIRLINE TRANSPORT","6430","950","37",""
"20190516011289I","16-MAY-19","PERU","IL","ILLINOIS VALLEY RGNL-WALTER A DUNCAN FIELD","INCIDENT","MINOR","TAXI","BEECH","35","V35B","","","GENERAL OPERATING RULES","","4177S","0","0","CONT M","IO 520 SERIES","","1","UNKNOWN/FOREIGN","","","",""
"20190516018069I","16-MAY-19","ANN ARBOR","MI","ANN ARBOR MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","700AG","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","87","23","30",""
"20190517004779I","17-MAY-19","LA VERNE","CA","BRACKETT FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","SR22","T","","","GENERAL OPERATING RULES","","685TL","0","0","CONT M","TSIO-550-K","","1","PRIVATE PILOT","","","",""
"20190518004789I","18-MAY-19","GLASGOW","KY","GLASGOW MUNI","INCIDENT","SUBSTANTIAL","CLIMB","BEECH","19","B19","","","GENERAL OPERATING RULES","","9792L","0","0","LYCOMI","O-320-ERC","","1","","","","",""
"20190518004799I","18-MAY-19","HUNTINGTON","TN","CARROLL COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","LUSCOMBE","8","A","","","GENERAL OPERATING RULES","","1142K","0","0","CONT M","A&C65 SERIES","","1","PRIVATE PILOT","1844","75","6",""
"20190518004809I","18-MAY-19","MANTEO","NC","DARE COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","182","J","","","GENERAL OPERATING RULES","","3546F","0","0","CONT M","O-470 SERIES","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","400","40","95",""
"20190518004829I","18-MAY-19","ALABASTER","AL","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA28","181","","","GENERAL OPERATING RULES","","4166Z","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","125","3","20",""
"20190518004849I","18-MAY-19","BOYNTON BEACH","FL","","INCIDENT","MINOR","MANEUVER","CESSNA","172","F","","","GENERAL OPERATING RULES","","5200F","0","0","CONT M","0-300 SER","D","1","","","","",""
"20190519004859I","19-MAY-19","OMAHA","NE","MILLARD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","V35A","","","GENERAL OPERATING RULES","","7765R","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","1012","337","18",""
"20190519004889I","19-MAY-19","ALMA","GA","BACON COUNTY","INCIDENT","MINOR","UNKNOWN","CESSNA","A188","B","","","GENERAL OPERATING RULES","","718MG","0","0","CONT M","IO 520 SERIES","","1","","","","",""
"20190520004919I","20-MAY-19","CAHOKIA","IL","ST LOUIS DOWNTOWN","INCIDENT","MINOR","GROUND-RAMP","DIAMOND","DA20","C1","PARKS COLLEGE","","PILOT SCHOOLS","","327PC","0","0","CONT M","IO-240-B","","","","1202","736","99",""
"20190520004929I","20-MAY-19","FREDERICK","MD","FREDERICK MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","1798A","0","0","LYCOMI","0-290 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","13000","25","9",""
"20190520004939I","20-MAY-19","SAN JUAN","PR","FERNANDO LUIS RIBAS DOMINICCI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","152","NO SERIES EXISTS","ISLA GRANDE FLYING SCHOOL","","PILOT SCHOOLS","","65JX","0","0","LYCOMI","0-235 SERIES","","1","STUDENT","27","27","16",""
"20190520017759I","20-MAY-19","GAINESVILLE","FL","GAINESVILLE RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M20R","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","194DJ","0","0","","","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7700","","",""
"20190521004959I","21-MAY-19","WOOSTER","OH","","INCIDENT","MINOR","MANEUVER","CESSNA","A188","B","AERIAL FARMING SERVICE INC","","AGRICULTURAL","","9286R","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","5355","2830","15",""
"20190521004969I","21-MAY-19","MIRAMAR","FL","","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28","180","","","GENERAL OPERATING RULES","","4248T","0","0","LYCOMI","O&VO-360 SER","A4A","","PRIVATE PILOT","563","","",""
"20190522004989I","22-MAY-19","READING","PA","READING RGNL/CARL A SPAATZ FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","2373K","0","0","LYCOMI","I0360 SER","","1","STUDENT","29","29","25",""
"20190522005009I","22-MAY-19","RALEIGH","NC","RALEIGH-DURHAM INTL","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","58","P","","","GENERAL OPERATING RULES","","18SC","0","0","CONT M","TSIO-520-LB","","2","PRIVATE PILOT FLIGHT INSTRUCTOR","2740","80","235",""
"20190522005019I","22-MAY-19","GIG HARBOR","WA","TACOMA NARROWS","INCIDENT","MINOR","LANDING: TOUCHDOWN","AERONCA","11AC","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9791E","0","0","CONT M","A&C65 SERIES","","1","STUDENT","123","123","18",""
"20190522005029I","22-MAY-19","ALABASTER","AL","SHELBY COUNTY","INCIDENT","MINOR","OTHER-SPECIFY","CHAMPION","8KCAB","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","149SG","0","0","LYCOMI","AEIO-360-H1B","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7075","378","252",""
"20190522005039I","22-MAY-19","NORTH MYRTLE BEACH","SC","GRAND STRAND","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3036M","0","0","LYCOMI","0-235 SERIES","","","COMMERCIAL PILOT","568","195","190",""
"20190524008469I","24-MAY-19","BOULDER CITY","NV","BOULDER CITY MUNI","INCIDENT","SUBSTANTIAL","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","118LS","0","0","ROTAX","SEE BOMBADIER","","","PRIVATE PILOT","","","10",""
"20190524011159I","24-MAY-19","RIVERSIDE","CA","RIVERSIDE MUNI","INCIDENT","MINOR","HOVER-HOLDING","SCHWEIZER","269C","UNDESIGNATED SERIES","WESTERN HELICOPTERS INC","","GENERAL OPERATING RULES","","269P","0","0","LYCOMI","HIO-360-D1A","","1","STUDENT","69","41","3",""
"20190525005109I","25-MAY-19","WINCHESTER","VA","WINCHESTER RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20B","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","74566","0","0","LYCOMI","O&VO-360 SER","L-4073","1","PRIVATE PILOT","856","87","11",""
